Benchmark,A Overhead,A Speedup,B Overhead,B Speedup,C Overhead,C Speedup
bt,2.3458146897977317,0.9770795249721963,3.978949120876085,0.9617331281522133,3.4609002475924466,0.9665487131920353
lu,-6.647742590272587,1.071211374794027,-6.5624514036477954,1.0702335570895318,-4.752390080635638,1.049895111117843
mg,-4.004408523144731,1.0417145044010714,-1.2981034800220947,1.0131517582315082,,
sp,-15.293383270911354,1.180545320560059,-15.378017312242232,1.1817260341084748,-13.709592502895662,1.158877364246492
ua,5.539980672260847,0.9475082273374252,6.579048425874001,0.9382707152761854,8.658983261152287,0.920310470416043
cg,-49.08,1.963966086,-44.68,1.81,-44.63,1.81
ep,2.28,0.9776691235,2.45,0.98,1.49,0.99
ft,-7.43,1.080215487,-8.22,1.09,,
is,-0.86,1.00862423,12.56,0.89,7.57,0.93
Geomean,,1.1240598400740527,,1.0877389505706523,,1.0879055053419304
Average,-8.127748780252231,1.1372593718638833,-5.618952738795782,1.1022854143428567,-5.98744272496951,1.1141921455392931
