class,A,B,C
bt,1.01389208865134,0.980867943754527,0.983317021068444
lu,0.98872503043244,0.986418940677373,0.986460776993058
mg,0.993240198287516,1.00546806649169
sp,0.881802654311293,0.891297501926318,0.905412404292449
ua,0.997936216181355,0.997083732252677,1.00672812487768
cg,0.942057291666667,0.98152224324384,0.995790759662372
ep,1.0025385379493,1.00497024332905,1.00347033994505
ft,1.01638874973163,0.968384739588787
is,0.99883855981417,1.13628048780488,1.05479932641033
Geomean,0.980826388899577,0.992958881121453,0.989976597103293
