bmk,class,.data,.rodata,.debug,.text
bt,vanilla,0.000264,0.007484,0.197255,0.087581
bt,popcorn,0.004592,0.02095,0.414856,0.183116
bt,unifico,0.00436,0.012021,0.203856,0.102224
cg,vanilla,0.000264,0.011936,0.180374,0.030381
cg,popcorn,0.004592,0.020858,0.385377,0.132284
cg,unifico,0.00436,0.016486,0.187875,0.04072
ep,vanilla,0.000264,0.009552,0.16087,0.026493
ep,popcorn,0.004592,0.020394,0.370704,0.127292
ep,unifico,0.00436,0.014114,0.167889,0.035588
ft,vanilla,0.000264,0.011616,0.192576,0.038829
ft,popcorn,0.004592,0.02457,0.398928,0.141788
ft,unifico,0.00436,0.016158,0.200326,0.052212
is,vanilla,0.000632,0.004588,0.149701,0.024445
is,popcorn,0.00496,0.019378,0.364028,0.125372
is,unifico,0.004728,0.008898,0.156698,0.033588
lu,vanilla,0.000264,0.008364,0.200008,0.083741
lu,popcorn,0.004592,0.021822,0.414059,0.179212
lu,unifico,0.00436,0.012893,0.206609,0.100032
mg,vanilla,0.000264,0.007564,0.197255,0.052557
mg,popcorn,0.0,0.0,0.0,0.0
mg,unifico,0.00436,0.012021,0.203856,0.066896
sp,vanilla,0.000264,0.007564,0.197255,0.077677
sp,popcorn,0.004592,0.021014,0.417047,0.172156
sp,unifico,0.00436,0.012085,0.203856,0.093888
ua,vanilla,0.000504,0.017084,0.221712,0.102925
ua,popcorn,0.0,0.0,0.0,0.0
ua,unifico,0.000504,0.017244,0.228396,0.115053
