bmk,class,.data,.rodata,.debug,.text
bt,unmodified,0.000264,0.006444,0.21921,0.09544
bt,popcorn,0.004592,0.020946,0.464357,0.197176
bt,unifico,0.00436,0.012005,0.229596,0.117472
cg,unmodified,0.000264,0.01144,0.200037,0.042544
cg,popcorn,0.004592,0.02079,0.434878,0.146344
cg,unifico,0.00436,0.016278,0.210196,0.041888
ep,unmodified,0.000264,0.009113,0.179506,0.03848
ep,popcorn,0.004592,0.020382,0.419368,0.141352
ep,unifico,0.00436,0.013946,0.189048,0.036784
ft,unmodified,0.000264,0.011112,0.210329,0.050016
ft,popcorn,0.004592,0.024486,0.446294,0.155848
ft,unifico,0.00436,0.015902,0.219971,0.053408
is,unmodified,0.000632,0.004265,0.168012,0.03672
is,popcorn,0.00496,0.019446,0.412306,0.139432
is,unifico,0.004728,0.008794,0.17763,0.034784
lu,unmodified,0.000264,0.007228,0.223146,0.093344
lu,popcorn,0.004592,0.021722,0.463763,0.193272
lu,unifico,0.00436,0.012869,0.233513,0.11528
mg,unmodified,0.000264,0.006348,0.21921,0.069792
mg,popcorn,0.0,0.0,0.0,0.0
mg,unifico,0.00436,0.011997,0.229596,0.082144
sp,unmodified,0.000264,0.006476,0.21921,0.090624
sp,popcorn,0.004592,0.020962,0.468147,0.186216
sp,unifico,0.00436,0.012069,0.229596,0.109136
ua,unmodified,0.000504,0.014168,0.242692,0.113888
ua,popcorn,0.0,0.0,0.0,0.0
ua,unifico,0.000504,0.014168,0.242692,0.113888
