Affinity,Benchmark,Class,Experiment,Iteration,Threads,Time
compact,lu,A,r12_r13_r14_to_temp,1.0,4,12.93
compact,lu,A,r12_r13_r14_to_temp,2.0,6,9.46
compact,is,A,r12_r13_r14_to_temp,2.0,16,0.05
compact,lu,A,r12_r13_r14_to_temp,2.0,12,6.2
compact,cg,A,r12_r13_r14_to_temp,2.0,2,0.69
compact,is,A,r12_r13_r14_to_temp,3.0,16,0.06
scatter,lu,A,r12_r13_r14_to_temp,2.0,6,6.64
compact,ep,A,r12_r13_r14_to_temp,3.0,10,3.5
compact,ft,A,r12_r13_r14_to_temp,2.0,2,2.2
compact,cg,A,r12_r13_r14_to_temp,3.0,2,0.7
compact,ep,A,r12_r13_r14_to_temp,3.0,16,2.21
scatter,mg,A,r12_r13_r14_to_temp,1.0,8,0.25
compact,mg,A,r12_r13_r14_to_temp,3.0,6,0.38
scatter,is,A,r12_r13_r14_to_temp,1.0,8,0.06
compact,mg,A,r12_r13_r14_to_temp,3.0,16,0.25
compact,bt,A,r12_r13_r14_to_temp,2.0,6,31.57
compact,cg,A,r12_r13_r14_to_temp,2.0,4,0.38
compact,sp,A,r12_r13_r14_to_temp,1.0,12,8.02
compact,cg,A,r12_r13_r14_to_temp,3.0,4,0.38
compact,lu,A,r12_r13_r14_to_temp,1.0,2,23.7
scatter,lu,A,r12_r13_r14_to_temp,2.0,2,15.08
compact,sp,A,r12_r13_r14_to_temp,1.0,1,31.35
compact,is,A,r12_r13_r14_to_temp,3.0,8,0.09
compact,is,A,r12_r13_r14_to_temp,1.0,8,0.09
compact,ft,A,r12_r13_r14_to_temp,1.0,1,2.72
scatter,mg,A,r12_r13_r14_to_temp,1.0,2,0.56
scatter,bt,A,r12_r13_r14_to_temp,2.0,6,19.31
scatter,bt,A,r12_r13_r14_to_temp,3.0,8,14.22
compact,ft,A,r12_r13_r14_to_temp,2.0,14,0.47
scatter,sp,A,r12_r13_r14_to_temp,2.0,6,7.51
compact,ep,A,r12_r13_r14_to_temp,2.0,14,2.51
compact,cg,A,r12_r13_r14_to_temp,1.0,4,0.38
compact,cg,A,r12_r13_r14_to_temp,2.0,8,0.21
scatter,is,A,r12_r13_r14_to_temp,2.0,2,0.19
compact,cg,A,r12_r13_r14_to_temp,1.0,8,0.21
compact,ft,A,r12_r13_r14_to_temp,1.0,10,0.59
compact,lu,A,r12_r13_r14_to_temp,1.0,6,9.36
compact,ft,A,r12_r13_r14_to_temp,2.0,6,0.83
compact,cg,A,r12_r13_r14_to_temp,2.0,14,0.16
scatter,is,A,r12_r13_r14_to_temp,3.0,4,0.1
compact,ep,A,r12_r13_r14_to_temp,1.0,2,13.71
compact,ep,A,r12_r13_r14_to_temp,1.0,8,3.76
compact,ft,A,r12_r13_r14_to_temp,3.0,14,0.47
compact,bt,A,r12_r13_r14_to_temp,1.0,2,82.52
compact,ep,A,r12_r13_r14_to_temp,3.0,14,2.52
compact,sp,A,r12_r13_r14_to_temp,1.0,8,9.38
compact,mg,A,r12_r13_r14_to_temp,1.0,4,0.5
scatter,lu,A,r12_r13_r14_to_temp,3.0,1,29.5
compact,cg,A,r12_r13_r14_to_temp,3.0,6,0.27
compact,ep,A,r12_r13_r14_to_temp,1.0,4,6.8
compact,mg,A,r12_r13_r14_to_temp,2.0,1,1.08
scatter,is,A,r12_r13_r14_to_temp,1.0,4,0.1
compact,bt,A,r12_r13_r14_to_temp,2.0,16,13.88
compact,ep,A,r12_r13_r14_to_temp,2.0,10,3.51
compact,ft,A,r12_r13_r14_to_temp,1.0,2,2.21
scatter,mg,A,r12_r13_r14_to_temp,1.0,6,0.27
compact,sp,A,r12_r13_r14_to_temp,1.0,4,16.64
compact,lu,A,r12_r13_r14_to_temp,1.0,8,7.14
scatter,sp,A,r12_r13_r14_to_temp,3.0,2,16.14
scatter,lu,A,r12_r13_r14_to_temp,3.0,4,8.24
scatter,ep,A,r12_r13_r14_to_temp,2.0,2,12.09
scatter,sp,A,r12_r13_r14_to_temp,1.0,8,5.9
compact,bt,A,r12_r13_r14_to_temp,2.0,12,19.37
compact,is,A,r12_r13_r14_to_temp,1.0,10,0.08
scatter,sp,A,r12_r13_r14_to_temp,1.0,4,9.27
scatter,cg,A,r12_r13_r14_to_temp,1.0,2,0.55
compact,is,A,r12_r13_r14_to_temp,1.0,16,0.06
compact,mg,A,r12_r13_r14_to_temp,1.0,2,0.96
compact,ft,A,r12_r13_r14_to_temp,1.0,16,0.42
scatter,ft,A,r12_r13_r14_to_temp,2.0,2,1.38
scatter,lu,A,r12_r13_r14_to_temp,1.0,4,8.26
scatter,ep,A,r12_r13_r14_to_temp,2.0,6,5.02
compact,cg,A,r12_r13_r14_to_temp,1.0,10,0.19
compact,is,A,r12_r13_r14_to_temp,3.0,14,0.06
scatter,ft,A,r12_r13_r14_to_temp,1.0,1,2.72
