Affinity,Benchmark,Class,Experiment,Iteration,Threads,Time
compact,lu,A,r13_r14_to_temp,1.0,4,12.94
compact,lu,A,r13_r14_to_temp,2.0,6,9.24
compact,is,A,r13_r14_to_temp,2.0,16,0.06
compact,lu,A,r13_r14_to_temp,2.0,12,6.23
compact,cg,A,r13_r14_to_temp,2.0,2,0.7
compact,is,A,r13_r14_to_temp,3.0,16,0.06
scatter,lu,A,r13_r14_to_temp,2.0,6,6.63
compact,ep,A,r13_r14_to_temp,3.0,10,3.4
compact,ft,A,r13_r14_to_temp,2.0,2,2.21
compact,cg,A,r13_r14_to_temp,3.0,2,0.7
compact,ep,A,r13_r14_to_temp,3.0,16,2.19
scatter,mg,A,r13_r14_to_temp,1.0,8,0.24
compact,mg,A,r13_r14_to_temp,3.0,6,0.38
scatter,is,A,r13_r14_to_temp,1.0,8,0.06
compact,mg,A,r13_r14_to_temp,3.0,16,0.25
compact,bt,A,r13_r14_to_temp,2.0,6,31.45
compact,cg,A,r13_r14_to_temp,2.0,4,0.38
compact,sp,A,r13_r14_to_temp,1.0,12,8.15
compact,cg,A,r13_r14_to_temp,3.0,4,0.38
compact,lu,A,r13_r14_to_temp,1.0,2,23.83
scatter,lu,A,r13_r14_to_temp,2.0,2,15.1
compact,sp,A,r13_r14_to_temp,1.0,1,31.88
compact,is,A,r13_r14_to_temp,3.0,8,0.09
compact,is,A,r13_r14_to_temp,1.0,8,0.09
compact,ft,A,r13_r14_to_temp,1.0,1,2.72
scatter,mg,A,r13_r14_to_temp,1.0,2,0.55
scatter,bt,A,r13_r14_to_temp,2.0,6,19.09
scatter,bt,A,r13_r14_to_temp,3.0,8,14.06
compact,ft,A,r13_r14_to_temp,2.0,14,0.47
scatter,sp,A,r13_r14_to_temp,2.0,6,7.57
compact,ep,A,r13_r14_to_temp,2.0,14,2.53
compact,cg,A,r13_r14_to_temp,1.0,4,0.38
compact,cg,A,r13_r14_to_temp,2.0,8,0.21
scatter,is,A,r13_r14_to_temp,2.0,2,0.19
compact,cg,A,r13_r14_to_temp,1.0,8,0.2
compact,ft,A,r13_r14_to_temp,1.0,10,0.59
compact,lu,A,r13_r14_to_temp,1.0,6,9.4
compact,ft,A,r13_r14_to_temp,2.0,6,0.83
compact,cg,A,r13_r14_to_temp,2.0,14,0.15
scatter,is,A,r13_r14_to_temp,3.0,4,0.1
compact,ep,A,r13_r14_to_temp,1.0,2,14.14
compact,ep,A,r13_r14_to_temp,1.0,8,3.79
compact,ft,A,r13_r14_to_temp,3.0,14,0.46
compact,bt,A,r13_r14_to_temp,1.0,2,82.15
compact,ep,A,r13_r14_to_temp,3.0,14,2.48
compact,sp,A,r13_r14_to_temp,1.0,8,9.63
compact,mg,A,r13_r14_to_temp,1.0,4,0.5
scatter,lu,A,r13_r14_to_temp,3.0,1,29.43
compact,cg,A,r13_r14_to_temp,3.0,6,0.27
compact,ep,A,r13_r14_to_temp,1.0,4,6.87
compact,mg,A,r13_r14_to_temp,2.0,1,1.08
scatter,is,A,r13_r14_to_temp,1.0,4,0.1
compact,bt,A,r13_r14_to_temp,2.0,16,13.83
compact,ep,A,r13_r14_to_temp,2.0,10,3.54
compact,ft,A,r13_r14_to_temp,1.0,2,2.21
scatter,mg,A,r13_r14_to_temp,1.0,6,0.27
compact,sp,A,r13_r14_to_temp,1.0,4,16.66
compact,lu,A,r13_r14_to_temp,1.0,8,7.14
scatter,sp,A,r13_r14_to_temp,3.0,2,16.19
scatter,lu,A,r13_r14_to_temp,3.0,4,8.22
scatter,ep,A,r13_r14_to_temp,2.0,2,12.07
scatter,sp,A,r13_r14_to_temp,1.0,8,5.94
compact,bt,A,r13_r14_to_temp,2.0,12,19.25
compact,is,A,r13_r14_to_temp,1.0,10,0.08
scatter,sp,A,r13_r14_to_temp,1.0,4,9.31
scatter,cg,A,r13_r14_to_temp,1.0,2,0.56
compact,is,A,r13_r14_to_temp,1.0,16,0.06
compact,mg,A,r13_r14_to_temp,1.0,2,0.95
compact,ft,A,r13_r14_to_temp,1.0,16,0.42
scatter,ft,A,r13_r14_to_temp,2.0,2,1.38
scatter,lu,A,r13_r14_to_temp,1.0,4,8.24
scatter,ep,A,r13_r14_to_temp,2.0,6,5.04
compact,cg,A,r13_r14_to_temp,1.0,10,0.19
compact,is,A,r13_r14_to_temp,3.0,14,0.06
scatter,ft,A,r13_r14_to_temp,1.0,1,2.71
scatter,ft,A,r13_r14_to_temp,2.0,8,0.49
compact,is,A,r13_r14_to_temp,2.0,12,0.07
compact,sp,A,r13_r14_to_temp,1.0,14,7.35
scatter,mg,A,r13_r14_to_temp,2.0,1,1.07
scatter,bt,A,r13_r14_to_temp,1.0,6,19.12
compact,cg,A,r13_r14_to_temp,1.0,14,0.15
compact,mg,A,r13_r14_to_temp,3.0,12,0.27
compact,mg,A,r13_r14_to_temp,2.0,14,0.27
compact,sp,A,r13_r14_to_temp,1.0,16,6.42
compact,cg,A,r13_r14_to_temp,3.0,8,0.21
compact,ep,A,r13_r14_to_temp,3.0,2,13.76
compact,lu,A,r13_r14_to_temp,2.0,2,23.82
scatter,mg,A,r13_r14_to_temp,1.0,1,1.07
compact,ep,A,r13_r14_to_temp,2.0,16,2.22
compact,sp,A,r13_r14_to_temp,1.0,2,31.76
compact,is,A,r13_r14_to_temp,2.0,1,0.36
scatter,is,A,r13_r14_to_temp,2.0,4,0.1
scatter,ep,A,r13_r14_to_temp,2.0,1,24.23
scatter,is,A,r13_r14_to_temp,3.0,8,0.06
compact,ep,A,r13_r14_to_temp,2.0,12,2.96
scatter,ep,A,r13_r14_to_temp,1.0,8,3.79
compact,ep,A,r13_r14_to_temp,2.0,1,24.19
scatter,sp,A,r13_r14_to_temp,3.0,6,7.53
compact,lu,A,r13_r14_to_temp,3.0,1,29.47
compact,bt,A,r13_r14_to_temp,3.0,16,13.79
scatter,mg,A,r13_r14_to_temp,3.0,2,0.56
compact,bt,A,r13_r14_to_temp,2.0,10,22.53
compact,lu,A,r13_r14_to_temp,3.0,4,12.95
scatter,is,A,r13_r14_to_temp,3.0,6,0.08
compact,sp,A,r13_r14_to_temp,3.0,12,8.17
scatter,mg,A,r13_r14_to_temp,2.0,2,0.56
compact,is,A,r13_r14_to_temp,2.0,2,0.32
compact,cg,A,r13_r14_to_temp,1.0,12,0.16
compact,ep,A,r13_r14_to_temp,2.0,8,3.82
scatter,sp,A,r13_r14_to_temp,3.0,4,9.28
scatter,ep,A,r13_r14_to_temp,2.0,4,6.49
scatter,bt,A,r13_r14_to_temp,1.0,2,42.98
compact,is,A,r13_r14_to_temp,1.0,14,0.06
compact,lu,A,r13_r14_to_temp,2.0,8,7.19
compact,lu,A,r13_r14_to_temp,1.0,16,4.73
compact,lu,A,r13_r14_to_temp,3.0,12,6.31
compact,mg,A,r13_r14_to_temp,3.0,10,0.3
scatter,ft,A,r13_r14_to_temp,3.0,8,0.49
compact,ft,A,r13_r14_to_temp,1.0,6,0.83
scatter,lu,A,r13_r14_to_temp,2.0,4,8.32
compact,sp,A,r13_r14_to_temp,2.0,2,31.73
compact,ft,A,r13_r14_to_temp,1.0,8,0.64
scatter,ft,A,r13_r14_to_temp,2.0,1,2.72
compact,bt,A,r13_r14_to_temp,3.0,2,82.15
scatter,bt,A,r13_r14_to_temp,1.0,8,14.04
compact,lu,A,r13_r14_to_temp,3.0,14,5.45
compact,is,A,r13_r14_to_temp,2.0,6,0.12
scatter,ep,A,r13_r14_to_temp,3.0,2,12.07
compact,bt,A,r13_r14_to_temp,1.0,12,19.27
compact,ft,A,r13_r14_to_temp,3.0,10,0.59
compact,is,A,r13_r14_to_temp,1.0,4,0.16
scatter,lu,A,r13_r14_to_temp,1.0,1,29.44
scatter,mg,A,r13_r14_to_temp,3.0,1,1.07
scatter,cg,A,r13_r14_to_temp,1.0,4,0.29
compact,ep,A,r13_r14_to_temp,1.0,1,24.18
scatter,cg,A,r13_r14_to_temp,3.0,8,0.18
scatter,mg,A,r13_r14_to_temp,2.0,8,0.24
compact,sp,A,r13_r14_to_temp,3.0,1,31.9
compact,bt,A,r13_r14_to_temp,3.0,10,22.5
compact,lu,A,r13_r14_to_temp,3.0,10,7.1
compact,mg,A,r13_r14_to_temp,1.0,12,0.27
scatter,sp,A,r13_r14_to_temp,2.0,2,16.34
compact,sp,A,r13_r14_to_temp,3.0,14,7.19
scatter,lu,A,r13_r14_to_temp,1.0,2,15.08
compact,mg,A,r13_r14_to_temp,1.0,16,0.27
compact,sp,A,r13_r14_to_temp,2.0,4,16.98
compact,mg,A,r13_r14_to_temp,1.0,8,0.32
scatter,sp,A,r13_r14_to_temp,1.0,1,31.68
compact,ep,A,r13_r14_to_temp,3.0,6,5.02
compact,mg,A,r13_r14_to_temp,1.0,1,1.08
scatter,lu,A,r13_r14_to_temp,2.0,8,5.02
compact,bt,A,r13_r14_to_temp,2.0,2,82.14
compact,cg,A,r13_r14_to_temp,1.0,1,1.04
compact,sp,A,r13_r14_to_temp,2.0,10,9.28
compact,lu,A,r13_r14_to_temp,2.0,1,29.45
compact,is,A,r13_r14_to_temp,2.0,10,0.08
compact,is,A,r13_r14_to_temp,2.0,14,0.06
compact,bt,A,r13_r14_to_temp,2.0,4,42.61
scatter,ep,A,r13_r14_to_temp,3.0,1,24.17
scatter,ft,A,r13_r14_to_temp,3.0,1,2.71
scatter,bt,A,r13_r14_to_temp,3.0,1,85.84
scatter,mg,A,r13_r14_to_temp,3.0,6,0.28
scatter,ft,A,r13_r14_to_temp,2.0,6,0.61
