Affinity,Benchmark,Class,Experiment,Iteration,Threads,Time
scatter,ua,A,baseline,2.0,2,16.34
compact,lu,A,baseline,1.0,4,11.06
compact,lu,A,baseline,2.0,6,8.22
compact,is,A,baseline,2.0,16,0.06
compact,lu,A,baseline,2.0,12,5.35
compact,ua,A,baseline,3.0,12,6.26
compact,cg,A,baseline,2.0,2,0.68
compact,is,A,baseline,3.0,16,0.06
scatter,lu,A,baseline,2.0,6,6.13
compact,ep,A,baseline,3.0,10,1.83
compact,ft,A,baseline,2.0,2,2.4
compact,cg,A,baseline,3.0,2,0.69
compact,ep,A,baseline,3.0,16,1.15
scatter,mg,A,baseline,1.0,8,0.24
compact,mg,A,baseline,3.0,6,0.35
compact,dc,A,baseline,3.0,10,52.21
scatter,is,A,baseline,1.0,8,0.08
compact,mg,A,baseline,3.0,16,0.25
compact,bt,A,baseline,2.0,6,15.66
compact,cg,A,baseline,2.0,4,0.37
scatter,dc,A,baseline,3.0,8,59.67
compact,sp,A,baseline,1.0,12,5.11
compact,cg,A,baseline,3.0,4,0.37
compact,lu,A,baseline,1.0,2,21.13
scatter,dc,A,baseline,2.0,8,57.35
scatter,lu,A,baseline,2.0,2,13.41
compact,sp,A,baseline,1.0,1,24.38
compact,is,A,baseline,3.0,8,0.11
compact,is,A,baseline,1.0,8,0.1
compact,ft,A,baseline,1.0,1,2.56
scatter,mg,A,baseline,1.0,2,0.49
scatter,bt,A,baseline,2.0,6,9.94
scatter,bt,A,baseline,3.0,8,7.63
scatter,ua,A,baseline,2.0,4,9.34
scatter,ua,A,baseline,2.0,8,5.72
compact,ft,A,baseline,2.0,14,0.5
compact,ua,A,baseline,2.0,4,13.92
scatter,sp,A,baseline,2.0,6,5.4
compact,ep,A,baseline,2.0,14,1.31
compact,cg,A,baseline,1.0,4,0.37
compact,cg,A,baseline,2.0,8,0.2
scatter,is,A,baseline,2.0,2,0.23
compact,cg,A,baseline,1.0,8,0.2
compact,ft,A,baseline,1.0,10,0.66
compact,dc,A,baseline,2.0,2,142.21
compact,lu,A,baseline,1.0,6,8.21
compact,dc,A,baseline,1.0,6,68.82
compact,ft,A,baseline,2.0,6,0.89
compact,cg,A,baseline,2.0,14,0.14
compact,ua,A,baseline,1.0,6,10.3
scatter,is,A,baseline,3.0,4,0.14
compact,ep,A,baseline,1.0,2,7.28
compact,ep,A,baseline,1.0,8,1.97
compact,ft,A,baseline,3.0,14,0.5
compact,bt,A,baseline,1.0,2,43.13
scatter,dc,A,baseline,1.0,8,58.03
compact,ep,A,baseline,3.0,14,1.32
compact,sp,A,baseline,1.0,8,6.35
compact,mg,A,baseline,1.0,4,0.45
scatter,lu,A,baseline,3.0,1,26.18
compact,cg,A,baseline,3.0,6,0.26
compact,dc,A,baseline,1.0,2,143.24
compact,ep,A,baseline,1.0,4,3.74
compact,ua,A,baseline,2.0,10,7.33
compact,mg,A,baseline,2.0,1,0.93
scatter,is,A,baseline,1.0,4,0.14
compact,bt,A,baseline,2.0,16,7.16
compact,ep,A,baseline,2.0,10,1.83
compact,dc,A,baseline,2.0,12,46.48
compact,dc,A,baseline,3.0,16,49.2
compact,ft,A,baseline,1.0,2,2.4
compact,dc,A,baseline,3.0,4,80.71
scatter,mg,A,baseline,1.0,6,0.25
compact,sp,A,baseline,1.0,4,11.06
compact,lu,A,baseline,1.0,8,6.22
scatter,sp,A,baseline,3.0,2,12.48
scatter,lu,A,baseline,3.0,4,7.57
scatter,ep,A,baseline,2.0,2,6.04
scatter,sp,A,baseline,1.0,8,4.42
compact,bt,A,baseline,2.0,12,9.28
compact,is,A,baseline,1.0,10,0.1
scatter,sp,A,baseline,1.0,4,6.85
scatter,cg,A,baseline,1.0,2,0.54
