Affinity,Benchmark,Class,Experiment,Iteration,Threads,Time
scatter,ua,C,baseline,1.0,6.0,214.43
scatter,bt,C,baseline,1.0,16.0,165.39
scatter,sp,C,baseline,3.0,8.0,213.12
scatter,lu,C,baseline,3.0,2.0,248.27
scatter,is,C,baseline,1.0,6.0,1.67
scatter,mg,C,baseline,1.0,4.0,33.01
scatter,mg,C,baseline,2.0,10.0,31.22
scatter,bt,C,baseline,3.0,16.0,165.4
scatter,ep,C,baseline,1.0,2.0,96.69
scatter,sp,C,baseline,1.0,16.0,208.89
scatter,sp,C,baseline,1.0,12.0,215.44
scatter,cg,C,baseline,1.0,16.0,48.81
scatter,ep,C,baseline,3.0,14.0,20.87
scatter,ep,C,baseline,2.0,12.0,23.74
scatter,ft,C,baseline,3.0,8.0,38.3
scatter,sp,C,baseline,1.0,10.0,223.0
scatter,ft,C,baseline,1.0,4.0,51.11
scatter,bt,C,baseline,1.0,6.0,212.79
scatter,is,C,baseline,1.0,12.0,1.68
scatter,bt,C,baseline,2.0,1.0,820.78
scatter,sp,C,baseline,2.0,6.0,226.53
scatter,ua,C,baseline,3.0,4.0,235.14
scatter,is,C,baseline,2.0,6.0,1.68
scatter,bt,C,baseline,3.0,8.0,174.33
scatter,is,C,baseline,1.0,4.0,1.9
scatter,lu,C,baseline,2.0,4.0,153.77
scatter,mg,C,baseline,1.0,6.0,33.38
scatter,ep,C,baseline,1.0,4.0,51.8
scatter,sp,C,baseline,2.0,12.0,214.41
scatter,ua,C,baseline,1.0,16.0,188.26
scatter,lu,C,baseline,1.0,10.0,128.31
scatter,dc,B,baseline,2.0,2.0,300.54
scatter,ua,C,baseline,1.0,4.0,235.18
scatter,cg,C,baseline,1.0,8.0,49.76
scatter,ft,C,baseline,1.0,16.0,44.21
scatter,ep,C,baseline,3.0,1.0,193.59
scatter,ua,C,baseline,3.0,10.0,219.22
scatter,mg,C,baseline,2.0,4.0,33.03
scatter,ft,C,baseline,2.0,8.0,38.38
scatter,mg,C,baseline,1.0,2.0,32.02
scatter,bt,C,baseline,3.0,1.0,820.28
scatter,bt,C,baseline,2.0,16.0,165.75
scatter,cg,C,baseline,2.0,2.0,113.7
scatter,ep,C,baseline,2.0,1.0,193.61
scatter,is,C,baseline,2.0,1.0,5.38
scatter,ft,C,baseline,3.0,16.0,44.1
scatter,cg,C,baseline,3.0,8.0,49.19
scatter,ft,C,baseline,2.0,12.0,43.82
scatter,ft,C,baseline,3.0,10.0,46.49
scatter,ua,C,baseline,2.0,4.0,235.24
scatter,cg,C,baseline,3.0,12.0,53.39
scatter,cg,C,baseline,2.0,1.0,214.31
scatter,ft,C,baseline,1.0,14.0,43.12
scatter,dc,B,baseline,3.0,14.0,269.14
scatter,lu,C,baseline,2.0,10.0,128.11
scatter,mg,C,baseline,1.0,16.0,31.68
scatter,ft,C,baseline,1.0,1.0,153.59
scatter,is,C,baseline,3.0,1.0,5.38
scatter,ep,C,baseline,2.0,10.0,28.25
scatter,mg,C,baseline,3.0,14.0,30.97
scatter,lu,C,baseline,1.0,6.0,132.6
scatter,ua,C,baseline,3.0,2.0,329.76
scatter,mg,C,baseline,3.0,16.0,31.54
scatter,lu,C,baseline,3.0,16.0,101.94
scatter,ep,C,baseline,3.0,2.0,97.09
scatter,ua,C,baseline,2.0,12.0,200.32
scatter,ft,C,baseline,2.0,4.0,52.61
scatter,ep,C,baseline,1.0,6.0,40.36
scatter,sp,C,baseline,3.0,2.0,309.1
scatter,lu,C,baseline,3.0,14.0,109.02
scatter,lu,C,baseline,1.0,8.0,112.15
scatter,bt,C,baseline,3.0,2.0,433.84
scatter,bt,C,baseline,2.0,4.0,257.32
scatter,is,C,baseline,3.0,4.0,1.91
scatter,lu,C,baseline,3.0,4.0,153.68
scatter,bt,C,baseline,1.0,1.0,820.48
scatter,sp,C,baseline,2.0,2.0,308.85
scatter,mg,C,baseline,3.0,10.0,31.23
scatter,dc,B,baseline,1.0,4.0,229.51
scatter,is,C,baseline,1.0,16.0,1.68
scatter,lu,C,baseline,1.0,1.0,461.49
scatter,ft,C,baseline,3.0,4.0,52.39
scatter,is,C,baseline,3.0,14.0,1.64
scatter,bt,C,baseline,1.0,12.0,192.53
scatter,ep,C,baseline,2.0,4.0,51.86
scatter,bt,C,baseline,3.0,6.0,212.56
scatter,is,C,baseline,1.0,10.0,1.78
scatter,bt,C,baseline,2.0,10.0,216.16
scatter,bt,C,baseline,3.0,4.0,257.27
scatter,cg,C,baseline,1.0,10.0,60.35
scatter,sp,C,baseline,1.0,14.0,210.6
scatter,ua,C,baseline,3.0,6.0,214.24
scatter,ft,C,baseline,1.0,2.0,83.5
scatter,lu,C,baseline,1.0,2.0,248.34
scatter,dc,B,baseline,2.0,10.0,248.0
scatter,bt,C,baseline,2.0,6.0,212.53
scatter,bt,C,baseline,2.0,8.0,174.41
scatter,ua,C,baseline,3.0,1.0,556.46
scatter,ft,C,baseline,2.0,6.0,47.77
scatter,cg,C,baseline,1.0,1.0,213.41
scatter,mg,C,baseline,2.0,2.0,31.84
scatter,dc,B,baseline,3.0,12.0,237.73
scatter,ua,C,baseline,3.0,8.0,195.53
scatter,cg,C,baseline,2.0,16.0,48.76
scatter,lu,C,baseline,3.0,6.0,132.78
scatter,dc,B,baseline,3.0,2.0,303.69
scatter,lu,C,baseline,2.0,8.0,112.22
scatter,mg,C,baseline,1.0,10.0,31.25
scatter,lu,C,baseline,1.0,14.0,108.98
scatter,mg,C,baseline,2.0,16.0,31.58
scatter,lu,C,baseline,1.0,12.0,117.65
scatter,ep,C,baseline,1.0,1.0,193.57
scatter,bt,C,baseline,2.0,2.0,433.59
scatter,sp,C,baseline,1.0,6.0,226.31
scatter,ua,C,baseline,2.0,1.0,557.02
scatter,lu,C,baseline,3.0,8.0,112.17
scatter,bt,C,baseline,3.0,14.0,179.96
scatter,lu,C,baseline,1.0,16.0,101.79
scatter,is,C,baseline,1.0,14.0,1.64
scatter,ua,C,baseline,3.0,16.0,188.15
scatter,is,C,baseline,3.0,16.0,1.68
scatter,cg,C,baseline,2.0,8.0,49.14
scatter,dc,B,baseline,1.0,12.0,218.01
scatter,ft,C,baseline,1.0,6.0,45.15
scatter,cg,C,baseline,1.0,4.0,63.69
scatter,mg,C,baseline,1.0,12.0,32.04
scatter,dc,B,baseline,2.0,1.0,538.02
scatter,dc,B,baseline,3.0,10.0,258.66
scatter,dc,B,baseline,3.0,4.0,240.98
scatter,ft,C,baseline,3.0,1.0,154.4
scatter,is,C,baseline,2.0,10.0,1.79
scatter,is,C,baseline,3.0,10.0,1.79
scatter,dc,B,baseline,2.0,4.0,241.6
scatter,cg,C,baseline,2.0,4.0,64.79
scatter,ft,C,baseline,2.0,10.0,46.64
scatter,is,C,baseline,2.0,12.0,1.68
scatter,dc,B,baseline,2.0,14.0,268.97
scatter,ft,C,baseline,3.0,6.0,47.82
scatter,sp,C,baseline,1.0,8.0,212.74
scatter,ep,C,baseline,2.0,16.0,18.38
scatter,cg,C,baseline,1.0,14.0,49.82
scatter,ft,C,baseline,1.0,8.0,38.87
scatter,is,C,baseline,1.0,8.0,1.65
scatter,cg,C,baseline,3.0,10.0,61.22
scatter,ep,C,baseline,1.0,14.0,21.06
scatter,cg,C,baseline,3.0,14.0,49.82
scatter,cg,C,baseline,1.0,6.0,53.75
scatter,dc,B,baseline,2.0,16.0,338.06
scatter,sp,C,baseline,3.0,16.0,209.15
scatter,ft,C,baseline,3.0,12.0,43.17
scatter,cg,C,baseline,3.0,2.0,115.49
scatter,lu,C,baseline,3.0,12.0,117.69
scatter,is,C,baseline,2.0,16.0,1.68
scatter,lu,C,baseline,2.0,16.0,102.01
scatter,ua,C,baseline,1.0,10.0,216.4
scatter,ua,C,baseline,2.0,6.0,214.14
scatter,is,C,baseline,2.0,8.0,1.65
scatter,is,C,baseline,2.0,14.0,1.64
scatter,cg,C,baseline,2.0,12.0,53.52
scatter,sp,C,baseline,2.0,14.0,210.31
scatter,dc,B,baseline,1.0,14.0,262.47
scatter,ep,C,baseline,3.0,8.0,30.24
scatter,cg,C,baseline,1.0,2.0,115.93
scatter,lu,C,baseline,3.0,10.0,128.42
scatter,is,C,baseline,2.0,4.0,1.9
scatter,lu,C,baseline,2.0,6.0,132.52
scatter,ua,C,baseline,2.0,16.0,187.78
scatter,sp,C,baseline,3.0,10.0,222.88
scatter,ep,C,baseline,2.0,2.0,96.7
scatter,ua,C,baseline,3.0,14.0,191.91
scatter,ep,C,baseline,2.0,14.0,20.98
scatter,ep,C,baseline,1.0,16.0,18.36
scatter,cg,C,baseline,3.0,1.0,214.66
