Affinity,Benchmark,Class,Experiment,Iteration,Threads,Time
compact,lu,A,r14_to_temp,1.0,4,12.61
compact,lu,A,r14_to_temp,2.0,6,9.21
compact,is,A,r14_to_temp,2.0,16,0.05
compact,lu,A,r14_to_temp,2.0,12,6.24
compact,cg,A,r14_to_temp,2.0,2,0.7
compact,is,A,r14_to_temp,3.0,16,0.05
scatter,lu,A,r14_to_temp,2.0,6,6.63
compact,ep,A,r14_to_temp,3.0,10,3.51
compact,ft,A,r14_to_temp,2.0,2,2.21
compact,cg,A,r14_to_temp,3.0,2,0.73
compact,ep,A,r14_to_temp,3.0,16,2.22
scatter,mg,A,r14_to_temp,1.0,8,0.24
compact,mg,A,r14_to_temp,3.0,6,0.38
scatter,is,A,r14_to_temp,1.0,8,0.06
compact,mg,A,r14_to_temp,3.0,16,0.25
compact,bt,A,r14_to_temp,2.0,6,29.4
compact,cg,A,r14_to_temp,2.0,4,0.38
compact,sp,A,r14_to_temp,1.0,12,8.0
compact,cg,A,r14_to_temp,3.0,4,0.41
compact,lu,A,r14_to_temp,1.0,2,23.87
scatter,lu,A,r14_to_temp,2.0,2,15.11
compact,sp,A,r14_to_temp,1.0,1,31.19
compact,is,A,r14_to_temp,3.0,8,0.09
compact,is,A,r14_to_temp,1.0,8,0.09
compact,ft,A,r14_to_temp,1.0,1,2.77
scatter,mg,A,r14_to_temp,1.0,2,0.56
scatter,bt,A,r14_to_temp,2.0,6,18.41
scatter,bt,A,r14_to_temp,3.0,8,13.54
compact,ft,A,r14_to_temp,2.0,14,0.46
scatter,sp,A,r14_to_temp,2.0,6,7.49
compact,ep,A,r14_to_temp,2.0,14,2.55
compact,cg,A,r14_to_temp,1.0,4,0.38
compact,cg,A,r14_to_temp,2.0,8,0.21
scatter,is,A,r14_to_temp,2.0,2,0.19
compact,cg,A,r14_to_temp,1.0,8,0.21
compact,ft,A,r14_to_temp,1.0,10,0.62
compact,lu,A,r14_to_temp,1.0,6,9.26
compact,ft,A,r14_to_temp,2.0,6,0.83
compact,cg,A,r14_to_temp,2.0,14,0.18
scatter,is,A,r14_to_temp,3.0,4,0.1
compact,ep,A,r14_to_temp,1.0,2,14.13
compact,ep,A,r14_to_temp,1.0,8,3.79
compact,ft,A,r14_to_temp,3.0,14,0.47
compact,bt,A,r14_to_temp,1.0,2,78.9
compact,ep,A,r14_to_temp,3.0,14,2.47
compact,sp,A,r14_to_temp,1.0,8,9.33
compact,mg,A,r14_to_temp,1.0,4,0.5
scatter,lu,A,r14_to_temp,3.0,1,29.48
compact,cg,A,r14_to_temp,3.0,6,0.27
compact,ep,A,r14_to_temp,1.0,4,7.08
compact,mg,A,r14_to_temp,2.0,1,1.07
scatter,is,A,r14_to_temp,1.0,4,0.1
compact,bt,A,r14_to_temp,2.0,16,13.16
compact,ep,A,r14_to_temp,2.0,10,3.54
compact,ft,A,r14_to_temp,1.0,2,2.24
scatter,mg,A,r14_to_temp,1.0,6,0.27
compact,sp,A,r14_to_temp,1.0,4,16.48
compact,lu,A,r14_to_temp,1.0,8,7.13
scatter,sp,A,r14_to_temp,3.0,2,15.85
scatter,lu,A,r14_to_temp,3.0,4,8.27
scatter,ep,A,r14_to_temp,2.0,2,12.0
scatter,sp,A,r14_to_temp,1.0,8,5.91
compact,bt,A,r14_to_temp,2.0,12,18.49
compact,is,A,r14_to_temp,1.0,10,0.08
scatter,sp,A,r14_to_temp,1.0,4,9.14
scatter,cg,A,r14_to_temp,1.0,2,0.56
compact,is,A,r14_to_temp,1.0,16,0.05
compact,mg,A,r14_to_temp,1.0,2,0.95
compact,ft,A,r14_to_temp,1.0,16,0.42
scatter,ft,A,r14_to_temp,2.0,2,1.38
scatter,lu,A,r14_to_temp,1.0,4,8.24
scatter,ep,A,r14_to_temp,2.0,6,5.01
compact,cg,A,r14_to_temp,1.0,10,0.19
compact,is,A,r14_to_temp,3.0,14,0.06
scatter,ft,A,r14_to_temp,1.0,1,2.73
scatter,ft,A,r14_to_temp,2.0,8,0.49
compact,is,A,r14_to_temp,2.0,12,0.07
compact,sp,A,r14_to_temp,1.0,14,7.3
scatter,mg,A,r14_to_temp,2.0,1,1.07
scatter,bt,A,r14_to_temp,1.0,6,18.4
compact,cg,A,r14_to_temp,1.0,14,0.15
compact,mg,A,r14_to_temp,3.0,12,0.27
compact,mg,A,r14_to_temp,2.0,14,0.26
compact,sp,A,r14_to_temp,1.0,16,6.29
compact,cg,A,r14_to_temp,3.0,8,0.21
compact,ep,A,r14_to_temp,3.0,2,14.08
compact,lu,A,r14_to_temp,2.0,2,23.85
scatter,mg,A,r14_to_temp,1.0,1,1.07
compact,ep,A,r14_to_temp,2.0,16,2.17
compact,sp,A,r14_to_temp,1.0,2,30.98
compact,is,A,r14_to_temp,2.0,1,0.36
scatter,is,A,r14_to_temp,2.0,4,0.1
scatter,ep,A,r14_to_temp,2.0,1,24.01
scatter,is,A,r14_to_temp,3.0,8,0.06
compact,ep,A,r14_to_temp,2.0,12,2.88
scatter,ep,A,r14_to_temp,1.0,8,3.77
compact,ep,A,r14_to_temp,2.0,1,24.18
scatter,sp,A,r14_to_temp,3.0,6,7.42
compact,lu,A,r14_to_temp,3.0,1,29.66
compact,bt,A,r14_to_temp,3.0,16,13.2
scatter,mg,A,r14_to_temp,3.0,2,0.55
compact,bt,A,r14_to_temp,2.0,10,22.41
compact,lu,A,r14_to_temp,3.0,4,12.9
scatter,is,A,r14_to_temp,3.0,6,0.08
compact,sp,A,r14_to_temp,3.0,12,8.05
scatter,mg,A,r14_to_temp,2.0,2,0.55
compact,is,A,r14_to_temp,2.0,2,0.32
compact,cg,A,r14_to_temp,1.0,12,0.16
compact,ep,A,r14_to_temp,2.0,8,3.75
scatter,sp,A,r14_to_temp,3.0,4,9.21
scatter,ep,A,r14_to_temp,2.0,4,6.47
scatter,bt,A,r14_to_temp,1.0,2,41.41
compact,is,A,r14_to_temp,1.0,14,0.06
compact,lu,A,r14_to_temp,2.0,8,7.12
compact,lu,A,r14_to_temp,1.0,16,4.71
compact,lu,A,r14_to_temp,3.0,12,6.28
compact,mg,A,r14_to_temp,3.0,10,0.29
scatter,ft,A,r14_to_temp,3.0,8,0.49
compact,ft,A,r14_to_temp,1.0,6,0.83
scatter,lu,A,r14_to_temp,2.0,4,8.27
compact,sp,A,r14_to_temp,2.0,2,30.91
compact,ft,A,r14_to_temp,1.0,8,0.64
scatter,ft,A,r14_to_temp,2.0,1,2.74
compact,bt,A,r14_to_temp,3.0,2,78.89
scatter,bt,A,r14_to_temp,1.0,8,13.54
compact,lu,A,r14_to_temp,3.0,14,5.51
compact,is,A,r14_to_temp,2.0,6,0.12
scatter,ep,A,r14_to_temp,3.0,2,12.01
compact,bt,A,r14_to_temp,1.0,12,18.51
compact,ft,A,r14_to_temp,3.0,10,0.59
compact,is,A,r14_to_temp,1.0,4,0.16
scatter,lu,A,r14_to_temp,1.0,1,29.42
scatter,mg,A,r14_to_temp,3.0,1,1.07
scatter,cg,A,r14_to_temp,1.0,4,0.29
compact,ep,A,r14_to_temp,1.0,1,24.18
scatter,cg,A,r14_to_temp,3.0,8,0.18
scatter,mg,A,r14_to_temp,2.0,8,0.24
compact,sp,A,r14_to_temp,3.0,1,31.08
compact,bt,A,r14_to_temp,3.0,10,21.63
compact,lu,A,r14_to_temp,3.0,10,7.16
compact,mg,A,r14_to_temp,1.0,12,0.27
scatter,sp,A,r14_to_temp,2.0,2,15.88
compact,sp,A,r14_to_temp,3.0,14,7.0
scatter,lu,A,r14_to_temp,1.0,2,15.1
compact,mg,A,r14_to_temp,1.0,16,0.25
compact,sp,A,r14_to_temp,2.0,4,16.21
compact,mg,A,r14_to_temp,1.0,8,0.32
scatter,sp,A,r14_to_temp,1.0,1,30.86
compact,ep,A,r14_to_temp,3.0,6,5.0
compact,mg,A,r14_to_temp,1.0,1,1.07
scatter,lu,A,r14_to_temp,2.0,8,5.02
compact,bt,A,r14_to_temp,2.0,2,78.91
compact,cg,A,r14_to_temp,1.0,1,1.04
compact,sp,A,r14_to_temp,2.0,10,9.2
