Affinity,Benchmark,Class,Experiment,Iteration,Threads,Time
compact,ep,A,r14_temp,1.0,2,2.56
scatter,lu,A,r14_temp,3.0,1,26.13
compact,ep,A,r14_temp,1.0,4,2.01
scatter,ep,A,r14_temp,2.0,2,6.21
scatter,ft,A,r14_temp,1.0,1,2.57
scatter,mg,A,r14_temp,2.0,1,0.93
scatter,dc,A,r14_temp,2.0,1,165.02
compact,ep,A,r14_temp,3.0,2,2.56
scatter,mg,A,r14_temp,1.0,1,0.93
scatter,ep,A,r14_temp,2.0,1,12.42
compact,ep,A,r14_temp,2.0,1,2.6
scatter,ua,A,r14_temp,2.0,1,31.28
scatter,ft,A,r14_temp,2.0,1,2.58
scatter,ep,A,r14_temp,3.0,2,6.21
scatter,lu,A,r14_temp,1.0,1,26.19
scatter,mg,A,r14_temp,3.0,1,0.93
compact,ep,A,r14_temp,1.0,1,2.59
scatter,sp,A,r14_temp,1.0,1,24.22
scatter,ep,A,r14_temp,3.0,1,12.4
scatter,ft,A,r14_temp,3.0,1,2.57
scatter,bt,A,r14_temp,3.0,1,46.78
compact,ep,A,r14_temp,2.0,2,2.56
scatter,is,A,r14_temp,3.0,1,0.34
scatter,bt,A,r14_temp,2.0,1,46.89
compact,ep,A,r14_temp,2.0,4,2.01
scatter,dc,A,r14_temp,1.0,1,165.52
scatter,lu,A,r14_temp,2.0,1,26.05
scatter,sp,A,r14_temp,2.0,1,24.39
compact,ep,A,r14_temp,3.0,4,2.03
scatter,ua,A,r14_temp,1.0,1,31.33
scatter,cg,A,r14_temp,1.0,1,1.01
scatter,dc,A,r14_temp,3.0,1,165.01
scatter,bt,A,r14_temp,1.0,1,46.9
scatter,sp,A,r14_temp,3.0,1,24.24
scatter,cg,A,r14_temp,3.0,1,1.01
compact,ep,A,r14_temp,3.0,1,2.59
scatter,is,A,r14_temp,1.0,1,0.34
scatter,is,A,r14_temp,2.0,1,0.34
scatter,ua,A,r14_temp,3.0,1,31.31
scatter,ep,A,r14_temp,1.0,2,6.21
scatter,cg,A,r14_temp,2.0,1,1.01
scatter,ep,A,r14_temp,1.0,1,12.4
