Affinity,Benchmark,Class,Experiment,Iteration,Threads,Time
compact,lu,A,baseline,1.0,4,12.5
compact,lu,A,baseline,2.0,6,9.14
compact,is,A,baseline,2.0,16,0.06
compact,lu,A,baseline,2.0,12,6.24
compact,cg,A,baseline,2.0,2,0.69
compact,is,A,baseline,3.0,16,0.06
scatter,lu,A,baseline,2.0,6,6.61
compact,ep,A,baseline,3.0,10,3.51
compact,ft,A,baseline,2.0,2,2.21
compact,cg,A,baseline,3.0,2,0.69
compact,ep,A,baseline,3.0,16,2.17
scatter,mg,A,baseline,1.0,8,0.25
compact,mg,A,baseline,3.0,6,0.38
scatter,is,A,baseline,1.0,8,0.06
compact,mg,A,baseline,3.0,16,0.26
compact,bt,A,baseline,2.0,6,29.19
compact,cg,A,baseline,2.0,4,0.38
compact,sp,A,baseline,1.0,12,8.02
compact,cg,A,baseline,3.0,4,0.38
compact,lu,A,baseline,1.0,2,23.78
scatter,lu,A,baseline,2.0,2,15.13
compact,sp,A,baseline,1.0,1,31.4
compact,is,A,baseline,3.0,8,0.09
compact,is,A,baseline,1.0,8,0.09
compact,ft,A,baseline,1.0,1,2.74
scatter,mg,A,baseline,1.0,2,0.56
scatter,bt,A,baseline,2.0,6,17.9
scatter,bt,A,baseline,3.0,8,13.16
compact,ft,A,baseline,2.0,14,0.46
scatter,sp,A,baseline,2.0,6,7.45
compact,ep,A,baseline,2.0,14,2.51
compact,cg,A,baseline,1.0,4,0.38
compact,cg,A,baseline,2.0,8,0.21
scatter,is,A,baseline,2.0,2,0.19
compact,cg,A,baseline,1.0,8,0.21
compact,ft,A,baseline,1.0,10,0.59
compact,lu,A,baseline,1.0,6,9.14
compact,ft,A,baseline,2.0,6,0.83
compact,cg,A,baseline,2.0,14,0.15
scatter,is,A,baseline,3.0,4,0.1
compact,ep,A,baseline,1.0,2,13.68
compact,ep,A,baseline,1.0,8,3.76
compact,ft,A,baseline,3.0,14,0.47
compact,bt,A,baseline,1.0,2,76.39
compact,ep,A,baseline,3.0,14,2.48
compact,sp,A,baseline,1.0,8,9.31
compact,mg,A,baseline,1.0,4,0.51
scatter,lu,A,baseline,3.0,1,29.44
compact,cg,A,baseline,3.0,6,0.27
compact,ep,A,baseline,1.0,4,6.84
compact,mg,A,baseline,2.0,1,1.08
scatter,is,A,baseline,1.0,4,0.1
compact,bt,A,baseline,2.0,16,12.8
compact,ep,A,baseline,2.0,10,3.52
compact,ft,A,baseline,1.0,2,2.21
scatter,mg,A,baseline,1.0,6,0.27
compact,sp,A,baseline,1.0,4,16.42
compact,lu,A,baseline,1.0,8,7.12
scatter,sp,A,baseline,3.0,2,15.97
scatter,lu,A,baseline,3.0,4,8.26
scatter,ep,A,baseline,2.0,2,12.08
scatter,sp,A,baseline,1.0,8,5.94
compact,bt,A,baseline,2.0,12,17.96
compact,is,A,baseline,1.0,10,0.08
scatter,sp,A,baseline,1.0,4,9.18
scatter,cg,A,baseline,1.0,2,0.55
compact,is,A,baseline,1.0,16,0.06
compact,mg,A,baseline,1.0,2,0.96
compact,ft,A,baseline,1.0,16,0.42
scatter,ft,A,baseline,2.0,2,1.39
scatter,lu,A,baseline,1.0,4,8.25
scatter,ep,A,baseline,2.0,6,5.04
compact,cg,A,baseline,1.0,10,0.19
compact,is,A,baseline,3.0,14,0.06
scatter,ft,A,baseline,1.0,1,2.73
scatter,ft,A,baseline,2.0,8,0.49
compact,is,A,baseline,2.0,12,0.07
compact,sp,A,baseline,1.0,14,7.2
scatter,mg,A,baseline,2.0,1,1.08
scatter,bt,A,baseline,1.0,6,17.89
compact,cg,A,baseline,1.0,14,0.15
compact,mg,A,baseline,3.0,12,0.28
compact,mg,A,baseline,2.0,14,0.26
compact,sp,A,baseline,1.0,16,6.2
compact,cg,A,baseline,3.0,8,0.2
compact,ep,A,baseline,3.0,2,14.07
compact,lu,A,baseline,2.0,2,23.67
