sp/sp_x86_64_aligned.out  :
section                                                  size        addr
.text                                                  103792     5242880
.rodata                                                 17784     6291456
.rodata.cst8                                              320     6309240
.rodata.cst16                                             208     6309568
.rodata.___src_stdio_vfprintf_c_xdigits                    16     6309776
.rodata.___src_errno_strerror_c_errid                      89     6309792
.rodata.cst4                                               20     6309884
.rodata.___src_internal_floatscan_c_decfloat_p10s          32     6309904
.data                                                    4360     7340032
.bss                                                191746096     8388608
.ldata                                                      0   200142896
.eh_frame                                                1096   200142896
.tdata                                                   4096   200278016
.tbss                                                    4096   201326592
.comment                                                  225           0
.debug_str                                               7368           0
.debug_loc                                              76557           0
.debug_abbrev                                           17528           0
.debug_info                                             62608           0
.debug_ranges                                            5344           0
.debug_macinfo                                             77           0
.debug_frame                                             6048           0
.debug_line                                             35317           0
.debug_aranges                                            288           0
.note.gnu.gold-version                                     28           0
Total                                               192093393


