lu/lu_aarch64_aligned.out  :
section                                                  size        addr
.text                                                  127024     5242880
.rodata                                                 18492     6291456
.rodata.cst8                                              272     6309952
.rodata.___src_stdio_vfprintf_c_xdigits                    16     6310224
.rodata.___src_errno_strerror_c_errid                      89     6310240
.rodata.cst16                                             208     6310336
.rodata.___src_internal_floatscan_c_decfloat_p10s          32     6310544
.eh_frame                                                1648     6310576
.data                                                    4360     7340032
.bss                                                155582512     8388608
.tdata                                                   4096   164626432
.tbss                                                    4096   165675008
.got                                                       64   165679104
.got.plt                                                   24   165679168
.comment                                                  225           0
.debug_str                                               7643           0
.debug_loc                                              93818           0
.debug_abbrev                                           18168           0
.debug_info                                             68889           0
.debug_ranges                                            6768           0
.debug_macinfo                                             83           0
.debug_frame                                             5608           0
.debug_line                                             36161           0
.debug_aranges                                             48           0
.note.gnu.gold-version                                     28           0
Total                                               155980372


