ep/ep_x86_64_init.out  :
section                     size      addr
.note.gnu.build-id            36   4194592
.text                      28397   4194640
.rodata                    15936   4223040
.eh_frame                    392   4238976
.data                        264   4243464
.bss                     1052904   4243728
.debug_str                  7089         0
.debug_abbrev              15112         0
.debug_info                52548         0
.debug_macinfo                73         0
.comment                     225         0
.debug_line                27948         0
.debug_loc                 52032         0
.debug_frame                5512         0
.debug_ranges               4080         0
.debug_aranges               240         0
.note.gnu.gold-version        28         0
Total                    1262816


