cg/cg_aarch64_init.out  :
section                       size      addr
.note.gnu.build-id              36   4194648
.text                        43360   4194688
.rodata                      11488   4238048
.eh_frame                     1032   4249536
.got                            64   4325288
.got.plt                        24   4325352
.data                          264   4325376
.bss                     192904384   4325648
.debug_str                    7437         0
.debug_abbrev                15102         0
.debug_info                  57793         0
.debug_macinfo                  74         0
.comment                       225         0
.debug_line                  29902         0
.debug_loc                   64016         0
.debug_frame                  4880         0
.debug_ranges                 4912         0
.debug_aranges                  48         0
.note.gnu.gold-version          28         0
Total                    193145069


