ep/ep_aarch64_init.out  :
section                     size      addr
.note.gnu.build-id            36   4194648
.text                      39664   4194688
.rodata                    15440   4234352
.eh_frame                    840   4249792
.got                          64   4325288
.got.plt                      24   4325352
.data                        264   4325376
.bss                     1052896   4325648
.debug_str                  7282         0
.debug_abbrev              15395         0
.debug_info                56816         0
.debug_macinfo                77         0
.comment                     225         0
.debug_line                28096         0
.debug_loc                 65084         0
.debug_frame                4976         0
.debug_ranges               4912         0
.debug_aranges                48         0
.note.gnu.gold-version        28         0
Total                    1292167


