is/is_aarch64_init.out  :
section                       size      addr
.note.gnu.build-id              36   4194648
.text                        36944   4194688
.rodata                       4265   4231632
.eh_frame                      872   4235904
.got                            64   4325288
.got.plt                        24   4325352
.data                          632   4325376
.bss                     276836652   4326016
.debug_str                    6633         0
.debug_abbrev                13177         0
.debug_info                  50943         0
.debug_macinfo                  60         0
.comment                       225         0
.debug_line                  24518         0
.debug_loc                   58335         0
.debug_frame                  4288         0
.debug_ranges                 4448         0
.debug_aranges                  48         0
.note.gnu.gold-version          28         0
Total                    277042192


