mg/mg_aarch64_init.out  :
section                       size      addr
.note.gnu.build-id              36   4194648
.text                        71168   4194688
.rodata                      12608   4265856
.eh_frame                     1648   4278464
.got                            64   4390824
.got.plt                        24   4390888
.data                          264   4390912
.bss                     472912400   4391184
.comment                       225         0
.debug_str                    7462         0
.debug_loc                   87976         0
.debug_abbrev                17896         0
.debug_info                  66071         0
.debug_macinfo                  84         0
.debug_frame                  5984         0
.debug_line                  34681         0
.debug_ranges                 6544         0
.debug_aranges                  48         0
.note.gnu.gold-version          28         0
Total                    473225211


