ua/ua_aarch64_init.out  :
section                       size      addr
.note.gnu.build-id              36   4194648
.text                       136912   4194688
.rodata                      20248   4331600
.eh_frame                     3384   4351848
.got                            64   4456360
.got.plt                        24   4456424
.data                          504   4456448
.bss                     133717316   4456960
.comment                       225         0
.debug_str                    8391         0
.debug_loc                   95573         0
.debug_abbrev                20933         0
.debug_info                  73992         0
.debug_macinfo                 100         0
.debug_frame                  6840         0
.debug_line                  39808         0
.debug_ranges                 6656         0
.debug_aranges                  48         0
.note.gnu.gold-version          28         0
Total                    134131082


