ft/ft_aarch64_aligned.out  :
section                                              size       addr
.text                                               53376    5242880
.rodata                                             14733    6291456
.rodata.cst8                                         1048    6306192
.rodata.___src_stdio_vfprintf_c_xdigits                16    6307240
.rodata.___src_errno_strerror_c_errid                  89    6307256
.rodata.___src_math___rem_pio2_large_c_init_jk         16    6307348
.eh_frame                                             912    6307368
.data                                                4360    7340032
.bss                                             10725520    8388608
.tdata                                               4096   19922944
.tbss                                                4096   20971520
.got                                                   64   20975616
.got.plt                                               24   20975680
.debug_str                                           7987          0
.debug_loc                                          83650          0
.debug_abbrev                                       18120          0
.debug_info                                         66068          0
.debug_macinfo                                         86          0
.comment                                              225          0
.debug_line                                         33625          0
.debug_ranges                                        5232          0
.debug_frame                                         5176          0
.debug_aranges                                         48          0
.note.gnu.gold-version                                 28          0
Total                                            11028595


