sp/sp_aarch64_aligned.out  :
section                                                 size       addr
.text                                                 109280    5242880
.rodata                                                11452    6291456
.rodata.cst8                                             120    6302912
.rodata.___src_stdio_vfprintf_c_xdigits                   16    6303032
.rodata.___src_errno_strerror_c_errid                     89    6303048
.rodata.cst16                                            208    6303152
.rodata.___src_internal_floatscan_c_decfloat_p10s         32    6303360
.eh_frame                                               1728    6303392
.data                                                   4360    7340032
.bss                                                48111664    8388608
.tdata                                                  4096   56623104
.tbss                                                   4096   57671680
.got                                                      64   57675776
.got.plt                                                  24   57675840
.comment                                                 225          0
.debug_str                                              7191          0
.debug_loc                                             89138          0
.debug_abbrev                                          17990          0
.debug_info                                            68191          0
.debug_ranges                                           6352          0
.debug_macinfo                                            81          0
.debug_frame                                            5632          0
.debug_line                                            34973          0
.debug_aranges                                            48          0
.note.gnu.gold-version                                    28          0
Total                                               48477078


