is/is_aarch64_aligned.out  :
section                                        size        addr
.text                                         34784     5242880
.rodata                                        8617     6291456
.rodata.cst8                                     72     6300080
.rodata.___src_stdio_vfprintf_c_xdigits          16     6300152
.rodata.___src_errno_strerror_c_errid            89     6300168
.eh_frame                                       568     6300264
.data                                          4728     7340032
.bss                                      276840512     8388608
.tdata                                         4096   286261248
.tbss                                          4096   287309824
.got                                             64   287313920
.got.plt                                         24   287313984
.comment                                        225           0
.debug_str                                     5926           0
.debug_loc                                    64663           0
.debug_abbrev                                 13104           0
.debug_info                                   52642           0
.debug_ranges                                  4736           0
.debug_macinfo                                   57           0
.debug_frame                                   4144           0
.debug_line                                   23689           0
.debug_aranges                                   48           0
.note.gnu.gold-version                           28           0
Total                                     277066928


