cg/cg_x86_64_init.out  :
section                      size      addr
.note.gnu.build-id             36   4194592
.text                       30381   4194640
.rodata                     11936   4225024
.eh_frame                     688   4236960
.data                         264   4241744
.bss                     26940392   4242016
.debug_str                   7442         0
.debug_loc                  59918         0
.debug_abbrev               16116         0
.debug_info                 57317         0
.debug_ranges                4224         0
.debug_macinfo                 76         0
.comment                      225         0
.debug_line                 29252         0
.debug_frame                 5816         0
.debug_aranges                240         0
.note.gnu.gold-version         28         0
Total                    27164351


