ft/ft_aarch64_init.out  :
section                       size      addr
.note.gnu.build-id              36   4194648
.text                        49968   4194688
.rodata                      11112   4244656
.eh_frame                     1304   4255768
.got                            64   4325288
.got.plt                        24   4325352
.data                          264   4325376
.bss                     337129748   4325648
.debug_str                    7825         0
.debug_loc                   78242         0
.debug_abbrev                17993         0
.debug_info                  63572         0
.debug_macinfo                  88         0
.comment                       225         0
.debug_line                  32393         0
.debug_frame                  5552         0
.debug_ranges                 4592         0
.debug_aranges                  48         0
.note.gnu.gold-version          28         0
Total                    337403078


