ua/ua_aarch64_init.out  :
section                       size      addr
.note.gnu.build-id              36   4194648
.text                       113888   4194688
.rodata                      14168   4308576
.eh_frame                     3632   4322744
.got                            64   4456360
.got.plt                        24   4456424
.data                          504   4456448
.bss                     133717316   4456960
.comment                       225         0
.debug_str                    7979         0
.debug_loc                   90086         0
.debug_abbrev                20620         0
.debug_info                  72682         0
.debug_macinfo                  98         0
.debug_frame                  6848         0
.debug_line                  38139         0
.debug_ranges                 6192         0
.debug_aranges                  48         0
.note.gnu.gold-version          28         0
Total                    134092577


